approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.039982066,0.65567625,256.25,1437.1021486600002,0.9448829218745232,1018,505,16.124134,-0.031749934,1034240,3845.3148488998413,4136960,0.020358102
0.041136663,0.6598511,258.89,1447.1666787899999,0.9529771693050861,1072,506,16.118431,-0.03163203,1036288,3852.9531404972076,4145152,0.017505042
0.043880664,0.6637329,240.12,1347.0432662600003,0.9578782692551613,1135,507,16.11472,-0.03198552,1038336,3860.1680805683136,4153344,0.014590636
0.038632862,0.65009767,241.62,1360.97385988,0.9576875232160091,1100,508,16.102478,-0.03152737,1040384,3867.613981485367,4161536,0.013995061
0.03959837,0.6498535,248.97,1414.67117942,0.9483839645981789,1123,509,16.083012,-0.03226756,1042432,3874.906670331955,4169728,0.016824486
0.04356163,0.6645874,256.57,1457.87967828,0.9455705657601357,1097,510,16.071224,-0.032802634,1044480,3882.3693058490753,4177920,0.018498013
0.041533824,0.6611694,257.64,1460.46810819,0.9478509314358234,1099,511,16.066776,-0.0308891,1046528,3889.818105697632,4186112,0.01840034
0.041659057,0.6640137,253.64,1436.6267285800004,0.9455933123826981,808,512,16.06383,-0.032232415,1048576,3899.9470205307007,4194304,0.017110262
0.040969364,0.6594604,249.91,1419.3529310500005,0.9394167773425579,1156,513,16.049707,-0.031251907,1050624,3907.0307738780975,4202496,0.02048019
0.041550525,0.6623291,254.01,1446.8562872,0.9414567463099957,1152,514,16.01968,-0.031228418,1052672,3914.141322851181,4210688,0.019210892
0.043470316,0.661853,249.28,1421.0927897199997,0.9550472013652325,1104,515,15.995523,-0.03164271,1054720,3921.5596148967743,4218880,0.014837356
0.042835694,0.6708252,256.89,1462.9905072299996,0.9354055523872375,1115,516,15.977341,-0.0329051,1056768,3928.902936935425,4227072,0.020178422
0.04369464,0.6632446,256.31,1459.5027030899998,0.9504242166876793,1094,517,15.962372,-0.029618362,1058816,3936.3866930007935,4235264,0.016372586
0.039861914,0.6546753,250.93,1426.1894925700005,0.9464995451271534,1077,518,15.935748,-0.029562935,1060864,3943.9910781383514,4243456,0.02034846
0.041172713,0.65834963,249.82,1416.8022973299999,0.9468531385064125,1099,519,15.901747,-0.03038242,1062912,3951.4437453746796,4251648,0.018774148
0.044726897,0.66778564,254.79,1441.11806378,0.9338921308517456,1031,520,15.870112,-0.031253748,1064960,3959.3858785629272,4259840,0.021567639
0.044169374,0.6623291,268.78,1524.0714052800001,0.9444232545793056,1173,521,15.847395,-0.030371342,1067008,3966.370016813278,4268032,0.015957687
0.042104527,0.663916,275.67,1562.8833217799997,0.9453586712479591,1059,522,15.820427,-0.030768936,1069056,3974.101582765579,4276224,0.01963533
0.043781452,0.6637451,268.23,1517.2601767799997,0.9486305825412273,1112,523,15.805196,-0.031619735,1071104,3981.463876724243,4284416,0.017069155
0.041300558,0.6595825,253.72,1429.7474198400002,0.9455954395234585,1057,524,15.78257,-0.030902078,1073152,3989.208509683609,4292608,0.019669298
0.044749916,0.66954345,263.84,1489.14097569,0.9481779597699642,1054,525,15.765091,-0.031864043,1075200,3996.981114387512,4300800,0.016365152
0.04257803,0.6630371,257.83,1458.2475432499998,0.9477083534002304,1061,526,15.742472,-0.031164581,1077248,4004.697057247162,4308992,0.017811358
0.043262377,0.65599364,256.4,1457.1377388299998,0.9532858915627003,1060,527,15.712819,-0.030177776,1079296,4012.4193789958954,4317184,0.01582089
0.044035066,0.66156006,250.8,1429.0624870300003,0.9524012319743633,1072,528,15.697893,-0.031397484,1081344,4020.0615389347076,4325376,0.017295998
0.044354215,0.66417235,255.13,1456.72826734,0.9441217929124832,1101,529,15.680941,-0.03007578,1083392,4027.501574277878,4333568,0.018551512
0.047206562,0.67093503,257.17,1469.6502959399995,0.9245360195636749,1085,530,15.67293,-0.031075042,1085440,4035.052020549774,4341760,0.024202544
0.048955787,0.6748047,270.71,1542.6734363599999,0.9410527162253857,1103,531,15.666357,-0.030688873,1087488,4042.4751901626587,4349952,0.01917067
0.043511428,0.6664673,276.4,1567.2450511599998,0.9456844627857208,1088,532,15.635837,-0.03133467,1089536,4050.00044131279,4358144,0.017114079
0.044087302,0.6628052,274.36,1548.60706431,0.9501784667372704,1064,533,15.607915,-0.031188805,1091584,4057.694279193878,4366336,0.016065355
0.044756547,0.6678711,277.76,1575.3958363200002,0.9360351040959358,1094,534,15.585223,-0.031133994,1093632,4065.1823036670685,4374528,0.019752426
0.04691952,0.67786866,281.01,1599.9780175800001,0.9486994780600071,1110,535,15.579793,-0.03153976,1095680,4072.561244726181,4382720,0.017203262
0.043764025,0.66396487,276.82,1570.1089551099994,0.945520993322134,1066,536,15.559904,-0.029611722,1097728,4080.245072364807,4390912,0.019538393
0.046000134,0.6711548,255.08,1445.15395656,0.9465514235198498,1080,537,15.537689,-0.031304732,1099776,4087.8268570899963,4399104,0.018624788
0.048508894,0.6703491,248.13,1412.36369449,0.9328978061676025,1123,538,15.528499,-0.029861059,1101824,4095.1215963363647,4407296,0.022511499
0.048446752,0.6699341,250.24,1431.61119695,0.9571834430098534,1099,539,15.520284,-0.030181682,1103872,4102.57478427887,4415488,0.014223946
0.044329457,0.66671145,260.53,1499.07274259,0.9264255836606026,1111,540,15.478267,-0.030146305,1105920,4109.944816827774,4423680,0.02350889
0.044787012,0.6650146,256.88,1464.7073907400004,0.9433825314044952,1066,541,15.451059,-0.031058524,1107968,4117.6264572143555,4431872,0.019539325
0.043590494,0.6662353,256.0,1457.7235988699997,0.9461261704564095,1100,542,15.411143,-0.03191598,1110016,4125.073942422867,4440064,0.01849908
0.046188485,0.67718506,248.95,1409.5722476900003,0.9465587586164474,1122,543,15.374826,-0.033207648,1112064,4132.372594594955,4448256,0.018372638
0.045884196,0.6697022,262.5,1500.20888566,0.9084674268960953,1117,544,15.356311,-0.029967016,1114112,4139.705584049225,4456448,0.0258288
0.045250125,0.66882324,257.19,1472.24182752,0.9366023242473602,1102,545,15.363924,-0.031343777,1116160,4147.13410949707,4464640,0.021281652
0.045050364,0.6692749,261.02,1499.1435042100002,0.9369357079267502,1107,546,15.364122,-0.030233528,1118208,4154.530264377594,4472832,0.022888647
0.046876494,0.6817261,262.9,1506.9448856699996,0.9287392422556877,1109,547,15.335817,-0.03229012,1120256,4161.915328025818,4481024,0.02176309
0.04666584,0.67171633,266.41,1519.4316661099997,0.9385877773165703,1122,548,15.307684,-0.03129119,1122304,4169.211797714233,4489216,0.019704849
0.04739549,0.6708008,271.02,1542.4256774499997,0.9316129088401794,1124,549,15.282198,-0.029092526,1124352,4176.4964854717255,4497408,0.021544885
0.046747155,0.6694336,273.05,1550.3389088199997,0.9392447620630264,1108,550,15.292188,-0.030480672,1126400,4183.889335870743,4505600,0.018665534
0.04799692,0.67614746,287.49,1637.87199324,0.9410583488643169,1103,551,15.27332,-0.03183897,1128448,4191.315670490265,4513792,0.016861858
0.047612395,0.6673096,284.64,1632.2870276400001,0.9479032978415489,1145,552,15.251839,-0.030224329,1130496,4198.4690227508545,4521984,0.016049173
0.044606138,0.6621338,277.57,1588.8099166,0.9434891007840633,1052,553,15.233671,-0.028249511,1132544,4206.249078273773,4530176,0.020502128
0.04460221,0.66657716,271.99,1561.3281439400002,0.9319269880652428,1101,554,15.22375,-0.029977124,1134592,4213.684814453125,4538368,0.02127865
0.043442823,0.66624755,254.04,1450.4394833999997,0.9507512673735619,1092,555,15.205908,-0.02993467,1136640,4221.185156345367,4546560,0.0171705
0.04731438,0.6729004,265.03,1519.6228593100002,0.9396569132804871,1147,556,15.1877575,-0.030218532,1138688,4228.325940132141,4554752,0.018943302
0.04900278,0.678418,262.41,1517.22388523,0.941535510122776,1078,557,15.15612,-0.031243932,1140736,4235.919760227203,4562944,0.017585086
0.046083473,0.67514646,262.96,1521.27374822,0.9412335827946663,1086,558,15.148094,-0.02930519,1142784,4243.458256006241,4571136,0.020722887
0.04626132,0.67857665,265.55,1532.35227015,0.9318856820464134,1094,559,15.146484,-0.028965991,1144832,4250.9467215538025,4579328,0.022409655
0.047927924,0.67943114,256.63,1470.2385185600003,0.9493517614901066,1063,560,15.12869,-0.030967947,1146880,4258.651546955109,4587520,0.017389044
0.04892784,0.6763794,270.58,1548.2706262,0.940358929336071,1068,561,15.103394,-0.030804757,1148928,4266.3172471523285,4595712,0.01869199
0.043258168,0.66378176,262.75,1499.90501896,0.9385881163179874,1080,562,15.083944,-0.029521352,1150976,4273.89936375618,4603904,0.022153504
0.049094938,0.68133545,264.98,1521.00069086,0.9381591714918613,1071,563,15.047571,-0.029863935,1153024,4281.545323848724,4612096,0.020336725
0.046354167,0.67302245,258.95,1486.5904631299998,0.9366175308823586,1107,564,15.035251,-0.029338738,1155072,4288.941356897354,4620288,0.020578185
0.051409416,0.68499756,256.89,1475.6015359900002,0.9329915568232536,1117,565,15.011686,-0.029817153,1157120,4296.271281957626,4628480,0.02170315
0.046843197,0.67469484,269.5,1537.2031583399994,0.9482781812548637,1083,566,14.986795,-0.031029413,1159168,4303.834276676178,4636672,0.017459435
0.048646465,0.6734131,267.5,1528.7472503300003,0.9427250698208809,1103,567,14.989729,-0.03039733,1161216,4311.256547689438,4644864,0.018699564
0.045548413,0.6716064,270.68,1543.7335463700003,0.9472518898546696,1121,568,14.95764,-0.029717842,1163264,4318.562879562378,4653056,0.016829979
0.04871887,0.67473143,267.36,1527.64005269,0.9525290057063103,1089,569,14.946342,-0.030668369,1165312,4326.082412719727,4661248,0.014916348
0.047462653,0.67849123,268.93,1530.7168287700001,0.945022027939558,1099,570,14.936289,-0.030225849,1167360,4333.53546333313,4669440,0.017969934
0.04767644,0.67126465,274.61,1562.7056719500001,0.9488224722445011,1054,571,14.921381,-0.030482462,1169408,4341.303997516632,4677632,0.015789393
0.048292756,0.67678225,277.06,1583.5823271400002,0.9427917450666428,1068,572,14.898371,-0.029232249,1171456,4348.968829393387,4685824,0.018468142
0.04644966,0.6753662,278.08,1599.8224056400002,0.9406226128339767,1072,573,14.886566,-0.030512825,1173504,4356.606083393097,4694016,0.017408006
0.050673522,0.6835693,281.05,1609.7241381799997,0.9477915279567242,1089,574,14.877718,-0.030713549,1175552,4364.122728347778,4702208,0.017894752
0.048989836,0.6769775,273.01,1553.8181034399997,0.9483441263437271,1051,575,14.857592,-0.031111062,1177600,4371.9145720005035,4710400,0.016703498
0.04816548,0.6729981,261.55,1484.0015775700003,0.9493582509458065,1062,576,14.837763,-0.030670773,1179648,4379.624706983566,4718592,0.016171077
0.049540043,0.6790039,264.1,1510.4071687200003,0.9472286887466908,1091,577,14.828165,-0.029258931,1181696,4387.130236148834,4726784,0.017265325
0.049878903,0.6816406,262.88,1506.7657547100002,0.9465198926627636,1087,578,14.822073,-0.030627629,1183744,4394.665924072266,4734976,0.017360058
0.04710499,0.67911375,272.58,1564.3501415400003,0.937238022685051,1091,579,14.814226,-0.030104706,1185792,4402.17195057869,4743168,0.018746424
0.04794704,0.67645264,277.58,1590.1158480800002,0.9416348114609718,1074,580,14.812006,-0.02892232,1187840,4409.797590255737,4751360,0.018276546
0.047160424,0.6690674,274.47,1565.2975534799998,0.9381458796560764,1069,581,14.79184,-0.02879199,1189888,4417.455846786499,4759552,0.021017972
0.0529885,0.68734133,281.82,1613.5914214999998,0.9274917319417,1101,582,14.773191,-0.030393567,1191936,4424.895640850067,4767744,0.021567408
0.04842492,0.6765747,276.18,1581.5510992599998,0.9384319484233856,1079,583,14.776247,-0.029536735,1193984,4432.482226848602,4775936,0.019708378
0.04809227,0.67392576,263.53,1523.3563146499998,0.9457550570368767,1072,584,14.769247,-0.02824453,1196032,4440.119832277298,4784128,0.018446753
0.05220604,0.68499756,266.05,1538.11546542,0.9346747621893883,1101,585,14.766627,-0.031172514,1198080,4447.558135986328,4792320,0.018785402
0.044720747,0.66520995,269.31,1551.6993598300003,0.9514541067183018,1069,586,14.782268,-0.029153962,1200128,4455.2209367752075,4800512,0.016956208
